date,mod10a1_ndsi,cell_id,latitude,longitude
2020-01-01,-3710.037735849057,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-01-02,-727.9962264150943,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-01-03,-1683.0,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-01-04,-2094.3723270440255,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-01-05,-2816.435220125786,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-01-06,-3441.0,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-01-07,-360.2125786163522,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-01-08,198.01761006289308,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-01-09,621.0,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-01-10,-3297.193710691823,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-01-11,-2930.0,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-01-12,154.4930817610063,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-01-13,-3488.2125786163515,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-01-14,-2768.0,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-01-15,-3655.8553459119494,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-01-16,-2218.638993710692,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-01-17,-2405.105660377358,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-01-18,610.6528301886791,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-01-19,627.1962264150943,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-01-20,906.5006289308176,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-01-21,-1595.641509433962,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-01-22,-3770.5220125786163,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-01-23,1038.0,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-01-24,-2212.169811320755,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-01-25,998.3446540880503,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-01-26,2311.5962264150944,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-01-27,-2813.0,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-01-28,677.6050314465409,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-01-29,-1368.1698113207547,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-01-30,1391.1132075471698,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-01-31,-2545.9874213836474,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-02-01,-2420.5295597484273,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-02-02,-753.674213836478,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-02-03,-3137.755974842767,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-02-04,-3685.0,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-02-05,-3785.998742138365,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-02-06,-3463.9723270440254,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-02-07,-4242.509433962265,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-02-08,-2040.0,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-02-09,-1289.7660377358488,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-02-10,-2759.933333333333,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-02-11,-4030.6666666666665,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-02-12,-3500.6238993710695,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-02-13,-3944.0,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-02-14,-4271.477987421383,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-02-15,-711.5044025157232,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-02-16,-4059.2125786163524,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-02-17,-1517.0,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-02-18,-3722.74465408805,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-02-19,-2914.0,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-02-20,-3551.8037735849052,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-02-21,-333.062893081761,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-02-22,838.9610062893083,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-02-23,-2688.2264150943397,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-02-24,-1402.7534591194967,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-02-25,-4434.230188679246,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-02-26,-3051.932075471698,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-02-27,-3394.0176100628933,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-02-28,-603.0,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-02-29,-641.0,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-03-01,1510.0943396226414,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-03-02,-3554.696855345912,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-03-03,-4743.872955974843,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-03-04,-1969.927044025157,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-03-05,-2574.469182389937,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-03-06,-25.0,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-03-07,2655.0893081761005,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-03-08,-737.6037735849056,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-03-09,-2740.8364779874214,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-03-10,2538.030188679245,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-03-11,-1083.0,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-03-12,-4304.850314465409,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-03-13,-512.096855345912,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-03-14,1586.812578616352,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-03-15,4615.993710691824,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-03-16,5160.0,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-03-17,-2327.223899371069,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-03-18,-3364.1522012578616,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-03-19,37.554716981132074,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-03-20,-1787.407547169811,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-03-21,5562.761006289309,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-03-22,-1593.7622641509433,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-03-23,633.0,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-03-24,2545.0,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-03-25,414.3861635220126,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-03-26,-1018.0955974842766,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
2020-03-27,-681.8,d1b8a762-8964-4199-bcfb-a8422f06a5bb,37.1350895,-119.5678615
