date,vpd,cell_id,latitude,longitude
2013-01-01 06:00:00,0.22885848581790924,b2e9cb6b-b45a-4cab-8333-247cb4c0b51b,37.19236,-118.9390405
2013-01-02 06:00:00,0.30499184131622314,b2e9cb6b-b45a-4cab-8333-247cb4c0b51b,37.19236,-118.9390405
2013-01-03 06:00:00,0.3985988199710846,b2e9cb6b-b45a-4cab-8333-247cb4c0b51b,37.19236,-118.9390405
2013-01-04 06:00:00,0.40288475155830383,b2e9cb6b-b45a-4cab-8333-247cb4c0b51b,37.19236,-118.9390405
2013-01-05 06:00:00,0.3378608524799347,b2e9cb6b-b45a-4cab-8333-247cb4c0b51b,37.19236,-118.9390405
2013-01-06 06:00:00,0.08281929045915604,b2e9cb6b-b45a-4cab-8333-247cb4c0b51b,37.19236,-118.9390405
2013-01-07 06:00:00,0.1945837438106537,b2e9cb6b-b45a-4cab-8333-247cb4c0b51b,37.19236,-118.9390405
2013-01-08 06:00:00,0.2827039361000061,b2e9cb6b-b45a-4cab-8333-247cb4c0b51b,37.19236,-118.9390405
2013-01-09 06:00:00,0.34547048807144165,b2e9cb6b-b45a-4cab-8333-247cb4c0b51b,37.19236,-118.9390405
2013-01-10 06:00:00,0.07883836328983307,b2e9cb6b-b45a-4cab-8333-247cb4c0b51b,37.19236,-118.9390405
2013-01-11 06:00:00,0.07162690162658691,b2e9cb6b-b45a-4cab-8333-247cb4c0b51b,37.19236,-118.9390405
2013-01-12 06:00:00,0.07803450524806976,b2e9cb6b-b45a-4cab-8333-247cb4c0b51b,37.19236,-118.9390405
2013-01-13 06:00:00,0.1395300030708313,b2e9cb6b-b45a-4cab-8333-247cb4c0b51b,37.19236,-118.9390405
2013-01-14 06:00:00,0.15048332512378693,b2e9cb6b-b45a-4cab-8333-247cb4c0b51b,37.19236,-118.9390405
2013-01-15 06:00:00,0.27070507407188416,b2e9cb6b-b45a-4cab-8333-247cb4c0b51b,37.19236,-118.9390405
